epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8257,2.48238,17.7097,1.01716,0.874,0.72425,0.81231,0.40193,1.71482,1.78513,0.80712,0.000657895,0.000657895,0.000657895
2,73.9277,1.86634,1.10919,0.86255,0.93322,0.88704,0.9539,0.45727,1.78351,0.85571,0.81211,0.00129834,0.00129834,0.00129834
3,112.16,1.76668,0.86219,0.83759,0.89302,0.88372,0.92456,0.45904,1.75048,0.89916,0.80194,0.00191238,0.00191238,0.00191238
4,151.026,1.70275,0.82073,0.84201,0.9796,0.95708,0.98421,0.54917,1.5934,0.8468,0.79651,0.0018812,0.0018812,0.0018812
5,188.319,1.63547,0.77898,0.83432,0.88672,0.83217,0.91865,0.49353,1.57298,0.88209,0.80395,0.0018416,0.0018416,0.0018416
6,225.091,1.61773,0.75563,0.83301,0.93837,0.85996,0.96474,0.54157,1.56799,0.70031,0.79477,0.001802,0.001802,0.001802
7,261.774,1.56404,0.7092,0.83163,0.86101,0.87708,0.93825,0.5076,1.60405,0.79632,0.79751,0.0017624,0.0017624,0.0017624
8,297.289,1.56484,0.72154,0.82496,0.95021,0.7609,0.88811,0.51305,1.6389,1.08144,0.79947,0.0017228,0.0017228,0.0017228
9,335.091,1.54056,0.69415,0.83133,0.94743,0.90365,0.97034,0.5428,1.55479,0.75297,0.79383,0.0016832,0.0016832,0.0016832
10,369.908,1.48261,0.66883,0.81055,0.93483,0.90543,0.96714,0.57872,1.43561,0.72994,0.78142,0.0016436,0.0016436,0.0016436
11,407.921,1.41234,0.63132,0.81839,0.96643,0.95649,0.98959,0.605,1.3598,0.59653,0.78621,0.001604,0.001604,0.001604
12,446.144,1.50041,0.6636,0.82169,0.91236,0.93386,0.97732,0.60387,1.34091,0.59621,0.78189,0.0015644,0.0015644,0.0015644
13,482.897,1.39025,0.59628,0.81354,0.99152,0.92359,0.98404,0.6279,1.3219,0.57711,0.78049,0.0015248,0.0015248,0.0015248
14,520.321,1.40226,0.60468,0.8139,0.98911,0.90557,0.9867,0.62626,1.30189,0.63757,0.77534,0.0014852,0.0014852,0.0014852
15,556.422,1.36218,0.57576,0.81578,0.95478,0.92027,0.98077,0.6322,1.20538,0.59094,0.77129,0.0014456,0.0014456,0.0014456
16,593.417,1.36729,0.59117,0.81207,0.93724,0.91694,0.97369,0.61047,1.37273,0.62284,0.77402,0.001406,0.001406,0.001406
17,629.501,1.31291,0.58321,0.79579,0.95034,0.95376,0.98525,0.65819,1.21382,0.59909,0.77007,0.0013664,0.0013664,0.0013664
18,668.64,1.2824,0.54406,0.80435,0.96941,0.95681,0.9867,0.65687,1.23115,0.52971,0.77185,0.0013268,0.0013268,0.0013268
19,703.764,1.29096,0.56543,0.80939,0.96946,0.92027,0.9807,0.64137,1.23969,0.54493,0.78001,0.0012872,0.0012872,0.0012872
20,739.658,1.30709,0.56897,0.80311,0.96984,0.93023,0.98295,0.63978,1.23784,0.54949,0.77632,0.0012476,0.0012476,0.0012476
21,775.534,1.24964,0.54215,0.80664,0.96805,0.94352,0.98525,0.65383,1.19026,0.54497,0.76865,0.001208,0.001208,0.001208
22,812.763,1.24942,0.52216,0.80386,0.98599,0.93523,0.98555,0.65048,1.16981,0.55139,0.77104,0.0011684,0.0011684,0.0011684
23,849.002,1.24596,0.53684,0.79443,0.98599,0.93503,0.98803,0.66362,1.17864,0.52373,0.77273,0.0011288,0.0011288,0.0011288
24,886.293,1.24936,0.53135,0.80106,0.96519,0.9211,0.97931,0.64749,1.17409,0.53765,0.77096,0.0010892,0.0010892,0.0010892
25,921.853,1.19054,0.52622,0.79548,0.98195,0.96013,0.98672,0.68415,1.11572,0.56036,0.76556,0.0010496,0.0010496,0.0010496
26,959.288,1.19189,0.53382,0.78657,0.98691,0.9402,0.97421,0.64542,1.14076,0.52963,0.76884,0.00101,0.00101,0.00101
27,995.472,1.20042,0.52857,0.80969,0.9965,0.94623,0.98788,0.67294,1.09225,0.51066,0.76734,0.0009704,0.0009704,0.0009704
28,1032.51,1.19139,0.51531,0.79376,0.96346,0.91694,0.98358,0.65903,1.17227,0.58374,0.76732,0.0009308,0.0009308,0.0009308
29,1069.44,1.18463,0.52167,0.79664,0.9551,0.91882,0.97943,0.66764,1.1899,0.55114,0.76655,0.0008912,0.0008912,0.0008912
30,1104.75,1.13228,0.50822,0.79564,0.98093,0.96013,0.99207,0.70686,1.07315,0.50773,0.76641,0.0008516,0.0008516,0.0008516
31,1143.95,1.14765,0.50439,0.80728,0.99813,0.92691,0.99145,0.70085,1.03177,0.49498,0.76276,0.000812,0.000812,0.000812
32,1179.38,1.13145,0.49999,0.79225,0.98967,0.95503,0.99312,0.69293,1.09165,0.50582,0.76552,0.0007724,0.0007724,0.0007724
33,1216.23,1.10029,0.48558,0.79942,0.98624,0.95277,0.99254,0.69775,1.06817,0.49249,0.76646,0.0007328,0.0007328,0.0007328
34,1253.3,1.09238,0.48409,0.78645,0.99282,0.95017,0.98807,0.70154,1.05698,0.50705,0.76333,0.0006932,0.0006932,0.0006932
35,1290.41,1.07566,0.48116,0.80213,0.98635,0.96024,0.99386,0.72053,0.95588,0.50474,0.75861,0.0006536,0.0006536,0.0006536
36,1328.33,1.05659,0.48012,0.79375,0.97303,0.95882,0.99151,0.71916,0.99144,0.47192,0.76135,0.000614,0.000614,0.000614
37,1365.44,1.06112,0.46963,0.7965,0.99534,0.95349,0.99293,0.70199,1.00655,0.46947,0.7552,0.0005744,0.0005744,0.0005744
38,1400.37,1.04545,0.45575,0.79214,0.99652,0.95271,0.99382,0.71954,1.00103,0.45459,0.75825,0.0005348,0.0005348,0.0005348
39,1437.16,1.02594,0.45781,0.79361,0.98906,0.93355,0.99149,0.69617,1.00482,0.48079,0.75887,0.0004952,0.0004952,0.0004952
40,1473.12,1.01049,0.44174,0.78861,0.98298,0.95948,0.9927,0.74233,0.9593,0.45348,0.75922,0.0004556,0.0004556,0.0004556
41,1512.8,0.95181,0.44061,0.78229,0.98643,0.96612,0.99351,0.727,1.00979,0.47493,0.75868,0.000416,0.000416,0.000416
42,1548.17,0.95826,0.44176,0.7831,0.99388,0.96346,0.99336,0.73034,0.95546,0.44249,0.75669,0.0003764,0.0003764,0.0003764
43,1582.31,0.93397,0.436,0.7951,0.99111,0.94352,0.99276,0.72947,0.93555,0.4519,0.75506,0.0003368,0.0003368,0.0003368
44,1619.49,0.91446,0.42608,0.79179,0.98293,0.95679,0.9934,0.74749,0.92262,0.42404,0.75572,0.0002972,0.0002972,0.0002972
45,1655.35,0.91988,0.42211,0.78728,0.99652,0.95203,0.99375,0.75727,0.92268,0.42029,0.75762,0.0002576,0.0002576,0.0002576
46,1692.43,0.8997,0.41907,0.79633,0.98244,0.96013,0.99311,0.75406,0.89084,0.43288,0.75517,0.000218,0.000218,0.000218
47,1727.21,0.87558,0.40844,0.78922,0.98287,0.95337,0.99376,0.76111,0.9084,0.42767,0.75571,0.0001784,0.0001784,0.0001784
48,1765.45,0.88454,0.40076,0.79049,0.98178,0.95681,0.99397,0.74816,0.89065,0.43324,0.75245,0.0001388,0.0001388,0.0001388
49,1800.92,0.86053,0.39621,0.78012,0.98632,0.95782,0.99424,0.7615,0.86756,0.43244,0.75288,9.92e-05,9.92e-05,9.92e-05
50,1836.74,0.82324,0.37776,0.77878,0.98897,0.9701,0.99419,0.76644,0.85226,0.42296,0.75047,5.96e-05,5.96e-05,5.96e-05
